Date,sp500_close,sp500_log_return,vix,dgs10,tpu,realised_volatility,tpu_standardised,lag_return,lag_vix
2016-01-06,1990.260009765625,-0.01320216300262602,20.59,2.18,25.45,0.0001742971079479073,-0.9343417892978905,0.0020102041393599396,19.34
2016-01-07,1943.0899658203125,-0.023985816519344776,24.99,2.16,30.93,0.0005753193940996727,-0.9191491381079672,-0.01320216300262602,20.59
2016-01-08,1922.030029296875,-0.010897537445847908,27.01,2.13,40.06,0.00011875632238365734,-0.8938372940634418,-0.023985816519344776,24.99
2016-01-11,1923.6700439453125,0.0008529082958226729,24.3,2.17,104.68,7.274525610831361e-07,-0.7146859948129237,-0.010897537445847908,27.01
2016-01-12,1938.6800537109375,0.00777251411777486,22.47,2.12,72.72,6.041197571100951e-05,-0.8032913108767825,0.0008529082958226729,24.3
2016-01-13,1890.280029296875,-0.025282375077909022,25.22,2.08,120.93,0.0006391984895800753,-0.6696347937479142,0.00777251411777486,22.47
2016-01-14,1921.8399658203125,0.016558060934383972,23.95,2.1,182.66,0.00027416938190677264,-0.4984956773329579,-0.025282375077909022,25.22
2016-01-15,1880.3299560546875,-0.021835772698162375,27.02,2.03,24.15,0.00047680096932581334,-0.9379458853830912,0.016558060934383972,23.95
2016-01-19,1881.3299560546875,0.0005316801874288286,26.05,2.06,93.47,2.8268382170435435e-07,-0.7457643925937703,-0.021835772698162375,27.02
2016-01-20,1859.3299560546875,-0.011762766025898373,27.59,2.01,70.44,0.000138362664580029,-0.8096123409339039,0.0005316801874288286,26.05
2016-01-21,1868.989990234375,0.005181988635948063,26.69,2.02,125.72,2.6853006223094863e-05,-0.6563550858647514,-0.011762766025898373,27.59
2016-01-22,1906.9000244140625,0.02008072688221347,22.34,2.07,39.07,0.00040323559211805066,-0.8965819518514024,0.005181988635948063,26.69
2016-01-25,1877.0799560546875,-0.015761545172821467,24.15,2.03,43.73,0.0002484263062348917,-0.8836626535767595,0.02008072688221347,22.34
2016-01-26,1903.6300048828125,0.014045237830367907,22.5,2.01,43.48,0.00019726870571159778,-0.8843557489777597,-0.015761545172821467,24.15
2016-01-27,1882.949951171875,-0.010922922300528425,23.11,2.02,52.21,0.00011931023158338118,-0.8601528575748347,0.014045237830367907,22.5
2016-01-28,1893.3599853515625,0.005513350717591524,22.42,2.0,44.78,3.039703613516697e-05,-0.8807516528925591,-0.010922922300528425,23.11
2016-01-29,1940.239990234375,0.024458650994556432,20.2,1.94,38.2,0.0005982256084735163,-0.8989939238468829,0.005513350717591524,22.42
2016-02-01,1939.3800048828125,-0.00044333484554180534,19.98,1.97,153.53,1.965457852715764e-07,-0.579255153457495,0.024458650994556432,20.2
2016-02-02,1903.030029296875,-0.01892096871823143,21.98,1.87,74.9,0.0003580030572362923,-0.7972475189800613,-0.00044333484554180534,19.98
